"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4780","4460","4680","4750","4940","5140","5400","5500","5890","5670","6220","6960","7930","8520","9280","10300","11090","11970","13720","13880","14640","15180","15990","16270","17360","17750","19190","",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19010","26430","27170","29290","28920","30960","32160","31720","32940","33120","34740","34300","33580","34640","35760","37470","38350","39730","39100","35290","36080","35440","36510","38840","38350","44170","","",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14840","14380","14330","14220","14710","18250","20690","16740","18080","19230","20130","20720","21190","21010","21380","22070","22770","23260","23150","21760","21770","22030","22870","22650","22250","21640","21640","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","820","1050","2170","3040","4530","4860","5010","5180","5510","5690","6140","6720","7610","8400","9340","9350","9470","9980","10260","10970","11250","11600","12190","",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5400","5510","5080","4800","4320","3960","4170","4720","5200","5490","5970","6430","6910","7630","8790","10000","11350","12640","14200","14220","15600","16820","17400","17620","18320","17550","17220","",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3260","3650","4080","4370","4320","4360","4340","4430","4420","4670","5160","5300","5530","5890","6040","6290","6600","6530","6720","6950","6850","7340","7510","7580","7750","8120","7930","",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26490","26490","27070","28390","28970","30660","","","","","","","","","","","","75090","74800","68450","68910","68110","67140","66670","","","","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2280","2440","2520","2630","2770","2900","3050","3180","3330","3320","3400","3480","3550","3610","3770","4020","4280","4510","4830","4910","5070","5330","5540","5910","6320","6720","7100","",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6510","6740","6770","7090","7410","7790","8050","8290","8170","8140","8620","8800","9110","9280","10000","10520","11130","11980","12630","12590","13830","14580","15070","15780","15870","15280","14810","",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9010","8940","8680","8880","9220","9540","10050","10700","11180","11300","12000","11900","12120","12590","13060","13750","14680","15570","15790","15280","15770","15410","16140","16260","16500","16710","17180","",
